Frequency ;Azimuth ;S-param ;Amplitude ;Phase      ;
9.300     ;-90.0   ;S34     ;-80.6585  ;-160.96    ;
9.310     ;-90.0   ;S34     ;-80.6618  ;163.849    ;
9.320     ;-90.0   ;S34     ;-80.659   ;129.665    ;
9.330     ;-90.0   ;S34     ;-80.6734  ;95.2192    ;
9.340     ;-90.0   ;S34     ;-80.5155  ;60.7176    ;
9.350     ;-90.0   ;S34     ;-80.284   ;25.56      ;
9.360     ;-90.0   ;S34     ;-80.2227  ;-10.9122   ;
9.370     ;-90.0   ;S34     ;-80.3725  ;-46.5744   ;
9.380     ;-90.0   ;S34     ;-80.3638  ;-81.3152   ;
9.390     ;-90.0   ;S34     ;-80.3833  ;-115.21    ;
9.400     ;-90.0   ;S34     ;-80.0764  ;-150.205   ;
9.410     ;-90.0   ;S34     ;-79.9701  ;175.006    ;
9.420     ;-90.0   ;S34     ;-79.7886  ;138.452    ;
9.430     ;-90.0   ;S34     ;-79.6794  ;103.199    ;
9.440     ;-90.0   ;S34     ;-79.4834  ;66.9457    ;
9.450     ;-90.0   ;S34     ;-79.4091  ;31.2741    ;
9.460     ;-90.0   ;S34     ;-79.5025  ;-4.63902   ;
9.470     ;-90.0   ;S34     ;-79.3741  ;-39.1461   ;
9.480     ;-90.0   ;S34     ;-79.3854  ;-74.8079   ;
9.490     ;-90.0   ;S34     ;-79.1903  ;-109.724   ;
9.500     ;-90.0   ;S34     ;-78.9118  ;-145.621   ;
9.510     ;-90.0   ;S34     ;-78.6631  ;176.965    ;
9.520     ;-90.0   ;S34     ;-78.8224  ;138.675    ;
9.530     ;-90.0   ;S34     ;-78.9542  ;102.476    ;
9.540     ;-90.0   ;S34     ;-79.078   ;67.3775    ;
9.550     ;-90.0   ;S34     ;-78.984   ;32.3592    ;
9.560     ;-90.0   ;S34     ;-78.9614  ;-3.36929   ;
9.570     ;-90.0   ;S34     ;-79.0753  ;-39.3164   ;
9.580     ;-90.0   ;S34     ;-79.0494  ;-74.2064   ;
9.590     ;-90.0   ;S34     ;-78.8297  ;-109.853   ;
9.600     ;-90.0   ;S34     ;-78.7696  ;-145.965   ;
9.610     ;-90.0   ;S34     ;-78.8211  ;178.048    ;
9.620     ;-90.0   ;S34     ;-78.8277  ;142.009    ;
9.630     ;-90.0   ;S34     ;-78.9593  ;106.766    ;
9.640     ;-90.0   ;S34     ;-79.0254  ;71.7813    ;
9.650     ;-90.0   ;S34     ;-78.975   ;37.9204    ;
9.660     ;-90.0   ;S34     ;-78.62    ;2.81782    ;
9.670     ;-90.0   ;S34     ;-78.4599  ;-32.587    ;
9.680     ;-90.0   ;S34     ;-78.3286  ;-70.2155   ;
9.690     ;-90.0   ;S34     ;-78.3567  ;-105.539   ;
9.700     ;-90.0   ;S34     ;-78.2446  ;-140.921   ;
9.710     ;-90.0   ;S34     ;-78.2327  ;-175.48    ;
9.720     ;-90.0   ;S34     ;-77.9122  ;149.103    ;
9.730     ;-90.0   ;S34     ;-77.5407  ;112.895    ;
9.740     ;-90.0   ;S34     ;-77.2403  ;75.956     ;
9.750     ;-90.0   ;S34     ;-76.9983  ;38.9712    ;
9.760     ;-90.0   ;S34     ;-76.8239  ;1.48442    ;
9.770     ;-90.0   ;S34     ;-76.7687  ;-35.6714   ;
9.780     ;-90.0   ;S34     ;-76.7512  ;-72.3674   ;
9.790     ;-90.0   ;S34     ;-76.6185  ;-109.147   ;
9.800     ;-90.0   ;S34     ;-76.3812  ;-145.479   ;
9.300     ;-89.0   ;S34     ;-80.3846  ;-164.901   ;
9.310     ;-89.0   ;S34     ;-80.4895  ;158.907    ;
9.320     ;-89.0   ;S34     ;-80.5185  ;124.681    ;
9.330     ;-89.0   ;S34     ;-80.5735  ;91.0947    ;
9.340     ;-89.0   ;S34     ;-80.268   ;56.8211    ;
9.350     ;-89.0   ;S34     ;-80.206   ;20.9056    ;
9.360     ;-89.0   ;S34     ;-80.0727  ;-15.0508   ;
9.370     ;-89.0   ;S34     ;-80.1417  ;-51.5558   ;
9.380     ;-89.0   ;S34     ;-80.4045  ;-86.0378   ;
9.390     ;-89.0   ;S34     ;-80.4263  ;-120.143   ;
9.400     ;-89.0   ;S34     ;-80.1335  ;-154.248   ;
9.410     ;-89.0   ;S34     ;-79.9464  ;169.78     ;
9.420     ;-89.0   ;S34     ;-79.783   ;134.375    ;
9.430     ;-89.0   ;S34     ;-79.6954  ;99.0243    ;
9.440     ;-89.0   ;S34     ;-79.5986  ;63.2425    ;
9.450     ;-89.0   ;S34     ;-79.5217  ;27.2508    ;
9.460     ;-89.0   ;S34     ;-79.4936  ;-8.00635   ;
9.470     ;-89.0   ;S34     ;-79.5128  ;-43.1657   ;
9.480     ;-89.0   ;S34     ;-79.465   ;-78.3659   ;
9.490     ;-89.0   ;S34     ;-79.3023  ;-112.415   ;
9.500     ;-89.0   ;S34     ;-78.9394  ;-148.418   ;
9.510     ;-89.0   ;S34     ;-78.7029  ;173.46     ;
9.520     ;-89.0   ;S34     ;-78.7846  ;135.603    ;
9.530     ;-89.0   ;S34     ;-79.021   ;99.4372    ;
9.540     ;-89.0   ;S34     ;-79.0721  ;64.49      ;
9.550     ;-89.0   ;S34     ;-79.1838  ;28.8535    ;
9.560     ;-89.0   ;S34     ;-78.9891  ;-6.04783   ;
9.570     ;-89.0   ;S34     ;-79.1328  ;-41.0404   ;
9.580     ;-89.0   ;S34     ;-79.0171  ;-76.5797   ;
9.590     ;-89.0   ;S34     ;-79.0075  ;-112.337   ;
9.600     ;-89.0   ;S34     ;-78.8521  ;-148.379   ;
9.610     ;-89.0   ;S34     ;-78.8948  ;175.534    ;
9.620     ;-89.0   ;S34     ;-78.8536  ;139.386    ;
9.630     ;-89.0   ;S34     ;-78.968   ;103.662    ;
9.640     ;-89.0   ;S34     ;-78.951   ;69.6284    ;
9.650     ;-89.0   ;S34     ;-78.7752  ;34.5606    ;
9.660     ;-89.0   ;S34     ;-78.5954  ;-0.135493  ;
9.670     ;-89.0   ;S34     ;-78.442   ;-35.9149   ;
9.680     ;-89.0   ;S34     ;-78.3606  ;-72.2333   ;
9.690     ;-89.0   ;S34     ;-78.2818  ;-108.023   ;
9.700     ;-89.0   ;S34     ;-78.1764  ;-143.759   ;
9.710     ;-89.0   ;S34     ;-78.1207  ;-179.285   ;
9.720     ;-89.0   ;S34     ;-77.906   ;146.509    ;
9.730     ;-89.0   ;S34     ;-77.4523  ;110.087    ;
9.740     ;-89.0   ;S34     ;-77.2407  ;73.1509    ;
9.750     ;-89.0   ;S34     ;-77.0662  ;36.3787    ;
9.760     ;-89.0   ;S34     ;-76.8455  ;-0.546932  ;
9.770     ;-89.0   ;S34     ;-76.7867  ;-38.0687   ;
9.780     ;-89.0   ;S34     ;-76.6963  ;-74.4986   ;
9.790     ;-89.0   ;S34     ;-76.5348  ;-111.666   ;
9.800     ;-89.0   ;S34     ;-76.4041  ;-148.528   ;
9.300     ;-88.0   ;S34     ;-80.0856  ;-170.62    ;
9.310     ;-88.0   ;S34     ;-80.2869  ;153.355    ;
9.320     ;-88.0   ;S34     ;-80.3673  ;119.324    ;
9.330     ;-88.0   ;S34     ;-80.3449  ;85.6125    ;
9.340     ;-88.0   ;S34     ;-80.2472  ;51.4392    ;
9.350     ;-88.0   ;S34     ;-80.0494  ;16.3993    ;
9.360     ;-88.0   ;S34     ;-80.0262  ;-19.9564   ;
9.370     ;-88.0   ;S34     ;-80.0496  ;-56.1754   ;
9.380     ;-88.0   ;S34     ;-80.3091  ;-91.02     ;
9.390     ;-88.0   ;S34     ;-80.2209  ;-125.152   ;
9.400     ;-88.0   ;S34     ;-80.1355  ;-159.884   ;
9.410     ;-88.0   ;S34     ;-79.9737  ;165.386    ;
9.420     ;-88.0   ;S34     ;-79.9401  ;129.944    ;
9.430     ;-88.0   ;S34     ;-79.7815  ;95.8117    ;
9.440     ;-88.0   ;S34     ;-79.5914  ;59.3835    ;
9.450     ;-88.0   ;S34     ;-79.4705  ;23.6865    ;
9.460     ;-88.0   ;S34     ;-79.5841  ;-12.8277   ;
9.470     ;-88.0   ;S34     ;-79.6317  ;-47.6417   ;
9.480     ;-88.0   ;S34     ;-79.5706  ;-82.1496   ;
9.490     ;-88.0   ;S34     ;-79.3741  ;-116.245   ;
9.500     ;-88.0   ;S34     ;-79.1215  ;-152.12    ;
9.510     ;-88.0   ;S34     ;-78.7892  ;170.283    ;
9.520     ;-88.0   ;S34     ;-78.8115  ;132.934    ;
9.530     ;-88.0   ;S34     ;-78.9706  ;96.3123    ;
9.540     ;-88.0   ;S34     ;-79.2011  ;61.3422    ;
9.550     ;-88.0   ;S34     ;-79.1047  ;26.7431    ;
9.560     ;-88.0   ;S34     ;-79.0173  ;-9.03002   ;
9.570     ;-88.0   ;S34     ;-79.0984  ;-44.2389   ;
9.580     ;-88.0   ;S34     ;-78.9574  ;-78.8965   ;
9.590     ;-88.0   ;S34     ;-78.955   ;-114.978   ;
9.600     ;-88.0   ;S34     ;-78.7801  ;-151.075   ;
9.610     ;-88.0   ;S34     ;-78.7056  ;172.332    ;
9.620     ;-88.0   ;S34     ;-78.8332  ;135.941    ;
9.630     ;-88.0   ;S34     ;-78.8485  ;101.009    ;
9.640     ;-88.0   ;S34     ;-78.7748  ;66.4847    ;
9.650     ;-88.0   ;S34     ;-78.7449  ;31.5796    ;
9.660     ;-88.0   ;S34     ;-78.5883  ;-2.88749   ;
9.670     ;-88.0   ;S34     ;-78.3511  ;-38.8754   ;
9.680     ;-88.0   ;S34     ;-78.2472  ;-75.3826   ;
9.690     ;-88.0   ;S34     ;-78.3071  ;-112.093   ;
9.700     ;-88.0   ;S34     ;-78.1381  ;-146.755   ;
9.710     ;-88.0   ;S34     ;-78.0799  ;177.617    ;
9.720     ;-88.0   ;S34     ;-77.7486  ;143.162    ;
9.730     ;-88.0   ;S34     ;-77.4804  ;107.171    ;
9.740     ;-88.0   ;S34     ;-77.1612  ;70.2693    ;
9.750     ;-88.0   ;S34     ;-77.065   ;32.8744    ;
9.760     ;-88.0   ;S34     ;-76.8103  ;-4.09754   ;
9.770     ;-88.0   ;S34     ;-76.6571  ;-41.0702   ;
9.780     ;-88.0   ;S34     ;-76.5943  ;-78.3255   ;
9.790     ;-88.0   ;S34     ;-76.5896  ;-114.781   ;
9.800     ;-88.0   ;S34     ;-76.3351  ;-151.771   ;
9.300     ;-87.0   ;S34     ;-79.8767  ;-175.166   ;
9.310     ;-87.0   ;S34     ;-79.9363  ;148.811    ;
9.320     ;-87.0   ;S34     ;-80.1636  ;114.183    ;
9.330     ;-87.0   ;S34     ;-80.2002  ;80.3729    ;
9.340     ;-87.0   ;S34     ;-80.0578  ;46.6067    ;
9.350     ;-87.0   ;S34     ;-79.9221  ;11.3288    ;
9.360     ;-87.0   ;S34     ;-79.9427  ;-24.5555   ;
9.370     ;-87.0   ;S34     ;-79.9867  ;-60.9228   ;
9.380     ;-87.0   ;S34     ;-80.1906  ;-95.1561   ;
9.390     ;-87.0   ;S34     ;-80.1519  ;-129.553   ;
9.400     ;-87.0   ;S34     ;-80.1337  ;-163.908   ;
9.410     ;-87.0   ;S34     ;-80.1221  ;161.598    ;
9.420     ;-87.0   ;S34     ;-79.8851  ;126.791    ;
9.430     ;-87.0   ;S34     ;-79.7332  ;91.4224    ;
9.440     ;-87.0   ;S34     ;-79.534   ;55.8322    ;
9.450     ;-87.0   ;S34     ;-79.3643  ;19.2601    ;
9.460     ;-87.0   ;S34     ;-79.4622  ;-16.4      ;
9.470     ;-87.0   ;S34     ;-79.55    ;-50.989    ;
9.480     ;-87.0   ;S34     ;-79.5769  ;-85.6196   ;
9.490     ;-87.0   ;S34     ;-79.4501  ;-120.124   ;
9.500     ;-87.0   ;S34     ;-79.1026  ;-154.759   ;
9.510     ;-87.0   ;S34     ;-78.7759  ;167.554    ;
9.520     ;-87.0   ;S34     ;-78.7541  ;129.852    ;
9.530     ;-87.0   ;S34     ;-78.8933  ;93.0337    ;
9.540     ;-87.0   ;S34     ;-79.0453  ;57.9426    ;
9.550     ;-87.0   ;S34     ;-79.0842  ;24.0073    ;
9.560     ;-87.0   ;S34     ;-79.0438  ;-11.8361   ;
9.570     ;-87.0   ;S34     ;-78.9441  ;-46.9779   ;
9.580     ;-87.0   ;S34     ;-78.8382  ;-82.4506   ;
9.590     ;-87.0   ;S34     ;-78.7592  ;-117.684   ;
9.600     ;-87.0   ;S34     ;-78.6217  ;-154.679   ;
9.610     ;-87.0   ;S34     ;-78.5359  ;168.688    ;
9.620     ;-87.0   ;S34     ;-78.5498  ;133.001    ;
9.630     ;-87.0   ;S34     ;-78.7198  ;97.462     ;
9.640     ;-87.0   ;S34     ;-78.6694  ;62.0743    ;
9.650     ;-87.0   ;S34     ;-78.5734  ;27.6002    ;
9.660     ;-87.0   ;S34     ;-78.4131  ;-7.23659   ;
9.670     ;-87.0   ;S34     ;-78.3295  ;-42.5008   ;
9.680     ;-87.0   ;S34     ;-78.1565  ;-78.7912   ;
9.690     ;-87.0   ;S34     ;-78.127   ;-114.964   ;
9.700     ;-87.0   ;S34     ;-77.9761  ;-150.684   ;
9.710     ;-87.0   ;S34     ;-77.9194  ;174.326    ;
9.720     ;-87.0   ;S34     ;-77.6678  ;139.4      ;
9.730     ;-87.0   ;S34     ;-77.275   ;103.323    ;
9.740     ;-87.0   ;S34     ;-77.0401  ;66.6271    ;
9.750     ;-87.0   ;S34     ;-76.9355  ;28.7084    ;
9.760     ;-87.0   ;S34     ;-76.6872  ;-8.14432   ;
9.770     ;-87.0   ;S34     ;-76.6856  ;-44.7748   ;
9.780     ;-87.0   ;S34     ;-76.6008  ;-81.412    ;
9.790     ;-87.0   ;S34     ;-76.4973  ;-118       ;
9.800     ;-87.0   ;S34     ;-76.2659  ;-155.39    ;
9.300     ;-86.0   ;S34     ;-79.6127  ;-179.365   ;
9.310     ;-86.0   ;S34     ;-79.7262  ;144.708    ;
9.320     ;-86.0   ;S34     ;-79.9943  ;109.931    ;
9.330     ;-86.0   ;S34     ;-80.1716  ;75.8797    ;
9.340     ;-86.0   ;S34     ;-79.9781  ;41.6144    ;
9.350     ;-86.0   ;S34     ;-79.7756  ;7.27961    ;
9.360     ;-86.0   ;S34     ;-79.7352  ;-28.1119   ;
9.370     ;-86.0   ;S34     ;-79.7285  ;-64.3015   ;
9.380     ;-86.0   ;S34     ;-79.9817  ;-99.8489   ;
9.390     ;-86.0   ;S34     ;-80.0115  ;-133.454   ;
9.400     ;-86.0   ;S34     ;-79.9493  ;-167.551   ;
9.410     ;-86.0   ;S34     ;-80.0086  ;156.702    ;
9.420     ;-86.0   ;S34     ;-79.7829  ;122.619    ;
9.430     ;-86.0   ;S34     ;-79.5944  ;88.3025    ;
9.440     ;-86.0   ;S34     ;-79.5005  ;52.0024    ;
9.450     ;-86.0   ;S34     ;-79.2486  ;15.8898    ;
9.460     ;-86.0   ;S34     ;-79.2913  ;-19.5307   ;
9.470     ;-86.0   ;S34     ;-79.4712  ;-55.0819   ;
9.480     ;-86.0   ;S34     ;-79.4824  ;-89.0768   ;
9.490     ;-86.0   ;S34     ;-79.2495  ;-123.471   ;
9.500     ;-86.0   ;S34     ;-78.8898  ;-158.41    ;
9.510     ;-86.0   ;S34     ;-78.5934  ;164.287    ;
9.520     ;-86.0   ;S34     ;-78.5789  ;127.071    ;
9.530     ;-86.0   ;S34     ;-78.7534  ;90.0576    ;
9.540     ;-86.0   ;S34     ;-78.8593  ;54.2875    ;
9.550     ;-86.0   ;S34     ;-78.8732  ;20.0436    ;
9.560     ;-86.0   ;S34     ;-78.7139  ;-15.4331   ;
9.570     ;-86.0   ;S34     ;-78.8245  ;-50.0579   ;
9.580     ;-86.0   ;S34     ;-78.6464  ;-85.6244   ;
9.590     ;-86.0   ;S34     ;-78.4889  ;-121.557   ;
9.600     ;-86.0   ;S34     ;-78.5068  ;-158.066   ;
9.610     ;-86.0   ;S34     ;-78.4131  ;165.084    ;
9.620     ;-86.0   ;S34     ;-78.4212  ;129.605    ;
9.630     ;-86.0   ;S34     ;-78.5143  ;93.502     ;
9.640     ;-86.0   ;S34     ;-78.5258  ;58.6623    ;
9.650     ;-86.0   ;S34     ;-78.4383  ;24.0747    ;
9.660     ;-86.0   ;S34     ;-78.2849  ;-11.45     ;
9.670     ;-86.0   ;S34     ;-78.0177  ;-46.9705   ;
9.680     ;-86.0   ;S34     ;-77.9608  ;-82.9791   ;
9.690     ;-86.0   ;S34     ;-78.0027  ;-119.047   ;
9.700     ;-86.0   ;S34     ;-77.9212  ;-154.108   ;
9.710     ;-86.0   ;S34     ;-77.759   ;170.011    ;
9.720     ;-86.0   ;S34     ;-77.4838  ;134.945    ;
9.730     ;-86.0   ;S34     ;-77.1945  ;98.9483    ;
9.740     ;-86.0   ;S34     ;-76.9204  ;62.1284    ;
9.750     ;-86.0   ;S34     ;-76.7646  ;24.7508    ;
9.760     ;-86.0   ;S34     ;-76.721   ;-12.2607   ;
9.770     ;-86.0   ;S34     ;-76.6369  ;-49.0041   ;
9.780     ;-86.0   ;S34     ;-76.5048  ;-85.2445   ;
9.790     ;-86.0   ;S34     ;-76.4164  ;-122.204   ;
9.800     ;-86.0   ;S34     ;-76.2121  ;-158.862   ;
9.300     ;-85.0   ;S34     ;-79.3224  ;177.447    ;
9.310     ;-85.0   ;S34     ;-79.4496  ;141.098    ;
9.320     ;-85.0   ;S34     ;-79.6909  ;105.812    ;
9.330     ;-85.0   ;S34     ;-79.9108  ;72.5016    ;
9.340     ;-85.0   ;S34     ;-79.7868  ;38.3482    ;
9.350     ;-85.0   ;S34     ;-79.5734  ;3.73274    ;
9.360     ;-85.0   ;S34     ;-79.3851  ;-31.8145   ;
9.370     ;-85.0   ;S34     ;-79.5703  ;-67.9542   ;
9.380     ;-85.0   ;S34     ;-79.7514  ;-102.823   ;
9.390     ;-85.0   ;S34     ;-79.7665  ;-137.407   ;
9.400     ;-85.0   ;S34     ;-79.7115  ;-172.134   ;
9.410     ;-85.0   ;S34     ;-79.6932  ;153.404    ;
9.420     ;-85.0   ;S34     ;-79.6208  ;118.482    ;
9.430     ;-85.0   ;S34     ;-79.4295  ;84.3015    ;
9.440     ;-85.0   ;S34     ;-79.2177  ;48.8653    ;
9.450     ;-85.0   ;S34     ;-79.0838  ;12.2247    ;
9.460     ;-85.0   ;S34     ;-79.1047  ;-23.7987   ;
9.470     ;-85.0   ;S34     ;-79.2501  ;-59.1636   ;
9.480     ;-85.0   ;S34     ;-79.3438  ;-93.3027   ;
9.490     ;-85.0   ;S34     ;-79.1314  ;-127.495   ;
9.500     ;-85.0   ;S34     ;-78.7719  ;-161.903   ;
9.510     ;-85.0   ;S34     ;-78.3847  ;160.878    ;
9.520     ;-85.0   ;S34     ;-78.3682  ;122.915    ;
9.530     ;-85.0   ;S34     ;-78.4977  ;86.1611    ;
9.540     ;-85.0   ;S34     ;-78.5943  ;50.8115    ;
9.550     ;-85.0   ;S34     ;-78.6774  ;16.0601    ;
9.560     ;-85.0   ;S34     ;-78.5261  ;-19.1506   ;
9.570     ;-85.0   ;S34     ;-78.5293  ;-54.0786   ;
9.580     ;-85.0   ;S34     ;-78.3609  ;-89.9483   ;
9.590     ;-85.0   ;S34     ;-78.2441  ;-125.971   ;
9.600     ;-85.0   ;S34     ;-78.1962  ;-161.979   ;
9.610     ;-85.0   ;S34     ;-78.1231  ;161.168    ;
9.620     ;-85.0   ;S34     ;-78.1559  ;125.164    ;
9.630     ;-85.0   ;S34     ;-78.2607  ;89.7084    ;
9.640     ;-85.0   ;S34     ;-78.2872  ;54.8371    ;
9.650     ;-85.0   ;S34     ;-78.1807  ;19.6944    ;
9.660     ;-85.0   ;S34     ;-78.0697  ;-15.2114   ;
9.670     ;-85.0   ;S34     ;-77.8844  ;-50.7027   ;
9.680     ;-85.0   ;S34     ;-77.7914  ;-87.7145   ;
9.690     ;-85.0   ;S34     ;-77.7968  ;-123.206   ;
9.700     ;-85.0   ;S34     ;-77.6963  ;-158.752   ;
9.710     ;-85.0   ;S34     ;-77.5846  ;165.82     ;
9.720     ;-85.0   ;S34     ;-77.4118  ;130.508    ;
9.730     ;-85.0   ;S34     ;-77.0889  ;94.5873    ;
9.740     ;-85.0   ;S34     ;-76.7963  ;57.4371    ;
9.750     ;-85.0   ;S34     ;-76.7082  ;20.4206    ;
9.760     ;-85.0   ;S34     ;-76.6097  ;-16.3571   ;
9.770     ;-85.0   ;S34     ;-76.5249  ;-53.1407   ;
9.780     ;-85.0   ;S34     ;-76.4837  ;-89.4948   ;
9.790     ;-85.0   ;S34     ;-76.3057  ;-125.794   ;
9.800     ;-85.0   ;S34     ;-76.0888  ;-162.497   ;
9.300     ;-84.0   ;S34     ;-79.0128  ;173.213    ;
9.310     ;-84.0   ;S34     ;-79.1758  ;137.759    ;
9.320     ;-84.0   ;S34     ;-79.3929  ;103.266    ;
9.330     ;-84.0   ;S34     ;-79.4724  ;68.7509    ;
9.340     ;-84.0   ;S34     ;-79.4722  ;34.9136    ;
9.350     ;-84.0   ;S34     ;-79.3312  ;0.938886   ;
9.360     ;-84.0   ;S34     ;-79.2118  ;-35.6601   ;
9.370     ;-84.0   ;S34     ;-79.1197  ;-71.2343   ;
9.380     ;-84.0   ;S34     ;-79.3295  ;-106.351   ;
9.390     ;-84.0   ;S34     ;-79.3247  ;-141.322   ;
9.400     ;-84.0   ;S34     ;-79.4219  ;-176.236   ;
9.410     ;-84.0   ;S34     ;-79.2886  ;149.428    ;
9.420     ;-84.0   ;S34     ;-79.2158  ;115.266    ;
9.430     ;-84.0   ;S34     ;-79.0169  ;79.9515    ;
9.440     ;-84.0   ;S34     ;-78.9562  ;44.8778    ;
9.450     ;-84.0   ;S34     ;-78.753   ;8.55079    ;
9.460     ;-84.0   ;S34     ;-78.7405  ;-27.4409   ;
9.470     ;-84.0   ;S34     ;-78.8692  ;-63.1964   ;
9.480     ;-84.0   ;S34     ;-78.9848  ;-97.5448   ;
9.490     ;-84.0   ;S34     ;-78.7632  ;-131.788   ;
9.500     ;-84.0   ;S34     ;-78.4546  ;-166.361   ;
9.510     ;-84.0   ;S34     ;-78.1071  ;156.312    ;
9.520     ;-84.0   ;S34     ;-78.1275  ;118.561    ;
9.530     ;-84.0   ;S34     ;-78.1427  ;82.1964    ;
9.540     ;-84.0   ;S34     ;-78.3892  ;46.4369    ;
9.550     ;-84.0   ;S34     ;-78.3979  ;11.5609    ;
9.560     ;-84.0   ;S34     ;-78.2893  ;-23.392    ;
9.570     ;-84.0   ;S34     ;-78.2646  ;-58.1158   ;
9.580     ;-84.0   ;S34     ;-78.0905  ;-94.0785   ;
9.590     ;-84.0   ;S34     ;-77.9792  ;-129.979   ;
9.600     ;-84.0   ;S34     ;-77.9374  ;-166.697   ;
9.610     ;-84.0   ;S34     ;-77.8395  ;157.008    ;
9.620     ;-84.0   ;S34     ;-77.9507  ;120.339    ;
9.630     ;-84.0   ;S34     ;-78.0337  ;85.2004    ;
9.640     ;-84.0   ;S34     ;-77.9336  ;50.0691    ;
9.650     ;-84.0   ;S34     ;-77.9359  ;14.9608    ;
9.660     ;-84.0   ;S34     ;-77.7481  ;-19.3849   ;
9.670     ;-84.0   ;S34     ;-77.6819  ;-56.0329   ;
9.680     ;-84.0   ;S34     ;-77.6118  ;-92.1718   ;
9.690     ;-84.0   ;S34     ;-77.5605  ;-127.724   ;
9.700     ;-84.0   ;S34     ;-77.589   ;-164.052   ;
9.710     ;-84.0   ;S34     ;-77.4438  ;161.037    ;
9.720     ;-84.0   ;S34     ;-77.2212  ;125.383    ;
9.730     ;-84.0   ;S34     ;-76.9334  ;89.4876    ;
9.740     ;-84.0   ;S34     ;-76.6801  ;53.1141    ;
9.750     ;-84.0   ;S34     ;-76.5652  ;15.7244    ;
9.760     ;-84.0   ;S34     ;-76.484   ;-21.3768   ;
9.770     ;-84.0   ;S34     ;-76.4782  ;-57.462    ;
9.780     ;-84.0   ;S34     ;-76.3591  ;-93.7945   ;
9.790     ;-84.0   ;S34     ;-76.2364  ;-130.186   ;
9.800     ;-84.0   ;S34     ;-76.0168  ;-166.931   ;
9.300     ;-83.0   ;S34     ;-78.7483  ;170.395    ;
9.310     ;-83.0   ;S34     ;-78.8327  ;134.302    ;
9.320     ;-83.0   ;S34     ;-78.9764  ;99.5893    ;
9.330     ;-83.0   ;S34     ;-79.0942  ;65.5552    ;
9.340     ;-83.0   ;S34     ;-79.0882  ;31.7115    ;
9.350     ;-83.0   ;S34     ;-78.8874  ;-2.71502   ;
9.360     ;-83.0   ;S34     ;-78.7724  ;-38.0951   ;
9.370     ;-83.0   ;S34     ;-78.8335  ;-74.222    ;
9.380     ;-83.0   ;S34     ;-78.8875  ;-109.532   ;
9.390     ;-83.0   ;S34     ;-78.9751  ;-144.944   ;
9.400     ;-83.0   ;S34     ;-78.8586  ;-179.595   ;
9.410     ;-83.0   ;S34     ;-78.8289  ;144.863    ;
9.420     ;-83.0   ;S34     ;-78.8258  ;110.541    ;
9.430     ;-83.0   ;S34     ;-78.7499  ;76.1107    ;
9.440     ;-83.0   ;S34     ;-78.4658  ;41.0125    ;
9.450     ;-83.0   ;S34     ;-78.3629  ;4.56967    ;
9.460     ;-83.0   ;S34     ;-78.4206  ;-32.3392   ;
9.470     ;-83.0   ;S34     ;-78.5517  ;-67.4459   ;
9.480     ;-83.0   ;S34     ;-78.5593  ;-102.191   ;
9.490     ;-83.0   ;S34     ;-78.4962  ;-136.244   ;
9.500     ;-83.0   ;S34     ;-78.1759  ;-170.82    ;
9.510     ;-83.0   ;S34     ;-77.7886  ;151.955    ;
9.520     ;-83.0   ;S34     ;-77.7026  ;114.632    ;
9.530     ;-83.0   ;S34     ;-77.8552  ;77.7454    ;
9.540     ;-83.0   ;S34     ;-78.0619  ;42.5081    ;
9.550     ;-83.0   ;S34     ;-78.0627  ;7.26917    ;
9.560     ;-83.0   ;S34     ;-78.0821  ;-28.0918   ;
9.570     ;-83.0   ;S34     ;-77.9981  ;-63.1536   ;
9.580     ;-83.0   ;S34     ;-77.8349  ;-98.83     ;
9.590     ;-83.0   ;S34     ;-77.7019  ;-134.396   ;
9.600     ;-83.0   ;S34     ;-77.7005  ;-170.887   ;
9.610     ;-83.0   ;S34     ;-77.5685  ;153.436    ;
9.620     ;-83.0   ;S34     ;-77.6018  ;116.506    ;
9.630     ;-83.0   ;S34     ;-77.7281  ;80.0206    ;
9.640     ;-83.0   ;S34     ;-77.6943  ;45.2816    ;
9.650     ;-83.0   ;S34     ;-77.6592  ;10.2271    ;
9.660     ;-83.0   ;S34     ;-77.6206  ;-24.8336   ;
9.670     ;-83.0   ;S34     ;-77.3892  ;-61.2036   ;
9.680     ;-83.0   ;S34     ;-77.3587  ;-97.1057   ;
9.690     ;-83.0   ;S34     ;-77.4131  ;-132.885   ;
9.700     ;-83.0   ;S34     ;-77.2564  ;-169.203   ;
9.710     ;-83.0   ;S34     ;-77.2085  ;155.597    ;
9.720     ;-83.0   ;S34     ;-77.0071  ;120.4      ;
9.730     ;-83.0   ;S34     ;-76.7436  ;84.6644    ;
9.740     ;-83.0   ;S34     ;-76.5142  ;47.9589    ;
9.750     ;-83.0   ;S34     ;-76.4919  ;11.0564    ;
9.760     ;-83.0   ;S34     ;-76.4067  ;-25.6307   ;
9.770     ;-83.0   ;S34     ;-76.371   ;-62.2143   ;
9.780     ;-83.0   ;S34     ;-76.2136  ;-98.6732   ;
9.790     ;-83.0   ;S34     ;-76.0421  ;-134.335   ;
9.800     ;-83.0   ;S34     ;-75.9535  ;-171.68    ;
9.300     ;-82.0   ;S34     ;-78.3968  ;167.901    ;
9.310     ;-82.0   ;S34     ;-78.4323  ;131.92     ;
9.320     ;-82.0   ;S34     ;-78.528   ;97.2892    ;
